,tanggal,user_name,ISI,STOP_REMOVAL
12,2022-06-09 04:56:58+00:00,hari_bbg, GeiszChalifah Betapa jeniusnya Wan ogeb tanpa kerja pun dapat penghargaan bahkan seluruh dunia dalam satu abad https uHHgkGYJZv, geiszchalifah betapa jeniusnya wan ogeb kerja penghargaan dunia abad https uhhgkgyjzv
13,2022-06-09 04:56:30+00:00,thahirdahnial, keuangannews Bubarkan saja sekalian KPK Mubazzir uang negara buat gaji mereka , keuangannews bubarkan kpk mubazzir uang negara gaji 
14,2022-06-09 04:55:42+00:00,asepkoma73, democrazymedia hanya dijaman ini KPK ngak dipercaya publik biasanya paling tinggi mengalahkan polisi dan kejaksaan , democrazymedia dijaman kpk ngak dipercaya publik mengalahkan polisi kejaksaan 
15,2022-06-09 04:55:19+00:00,pxm_firman, UmarHasibuan070 KPK mungkin bapak yang titipan , umarhasibuan070 kpk titipan 
16,2022-06-09 04:55:15+00:00,bangahsan86, VIVAcoid Ketua KPK ngomongnya gini waladalah gak mampu mundur gan , vivacoid ketua kpk ngomongnya gini waladalah gak mundur gan 
17,2022-06-09 04:54:53+00:00,ngebutmautc84,Jangkrik Dirutnya cerai sama Lulu Tobing Allah kita profit taking Benar2 faktor diluar nalar https O3WsfVP45f,jangkrik dirutnya cerai lulu tobing allah profit taking benar2 faktor diluar nalar https o3wsfvp45f
18,2022-06-09 04:54:46+00:00,caba_roy, CNNIndonesia Coba tanya Fahri Hamzah Dia ngotot rubah KPK, cnnindonesia coba fahri hamzah ngotot rubah kpk
19,2022-06-09 04:54:41+00:00,rusman30966088, mak iyik VeelaaRhie KPK Nyali sih ada cuma knapa jadi seperti kena sambet kalamudeng muter muter statemenya , mak iyik veelaarhie kpk nyali sih knapa kena sambet kalamudeng muter muter statemenya 
20,2022-06-09 04:54:29+00:00,hot_dzoel17, SEKNAS SalmanTatang AnakLolina2 DBahareksa salawazo santos Tjakra mandala Ojoklalenya simbolonmarudu1 https fqqbmfPgGl, seknas salmantatang anaklolina2 dbahareksa salawazo santos tjakra mandala ojoklalenya simbolonmarudu1 https fqqbmfpggl
21,2022-06-09 04:54:01+00:00,eeboneneehh, GeiszChalifah Udahlah udah lewat juga Masih aja gembargemborin Udah bagus bikin malu negara Beruntung https onE6ui8V1h, geiszchalifah udahlah udah aja gembargemborin udah bagus bikin malu negara beruntung https one6ui8v1h
22,2022-06-09 04:53:07+00:00,papaalkey, triajaaa KPK KPK udah mati mbak tapi jangan nanya kuburannya dimana , triajaaa kpk kpk udah mati mbak nanya kuburannya dimana 
23,2022-06-09 04:52:54+00:00,tribunnews,Eks Jubir Sindir KPK dan Puji Kinerja Kejaksaan Agung yang Satu Banyak Gimik https Sf7wDpGuEu,eks jubir sindir kpk puji kinerja kejaksaan agung gimik https sf7wdpgueu
24,2022-06-09 04:52:28+00:00,banten02, detikcom Semoga KPK mau usut masalah ini berapa duit yang mengalir kantor Imigrasi tentang WNA China, detikcom semoga kpk usut duit mengalir kantor imigrasi wna china
25,2022-06-09 04:50:57+00:00,joeandaaa, hotmantmb yudiharahap46 Doi ketua KPK aja udah jauh lbh aneh , hotmantmb yudiharahap46 doi ketua kpk aja udah lbh aneh 
26,2022-06-09 04:50:47+00:00,fredy_santana01, RasamalaArt Lembaga KPK sebainya tdk berlama2 toh mau dipertahankan Peranya cukup sbg pebyidik dan penu https o7bZRS3zbo, rasamalaart lembaga kpk sebainya tdk berlama2 dipertahankan peranya sbg pebyidik penu https o7bzrs3zbo
27,2022-06-09 04:50:43+00:00,chrysshn1,Kemendes PDTT bersama Komisi Pemberantasan Korupsi KPK Tetapkan Desa Anti Korupsi halimiskandarnu ingin https 19cg3GEi1T,kemendes pdtt komisi pemberantasan korupsi kpk tetapkan desa anti korupsi halimiskandarnu https 19cg3gei1t
28,2022-06-09 04:49:53+00:00,verry_vaganza, joko gusman11 fauzul azmi GunRomli LHA MEMANG BANYAK MASALAH TUH WAN AIBON DIA DIPERIKSA KPK KAPAN ITU BANY https xMwlbJkfKu, joko gusman11 fauzul azmi gunromli lha tuh wan aibon diperiksa kpk bany https xmwlbjkfku
29,2022-06-09 04:48:59+00:00,markuspanda303, KPK Terlalu lebay kelen kalau masalah pemberian buah buahan Itu kan sekalian promosi pariwisata Sumatra Utara https QePc93KazO, kpk lebay kelen pemberian buah buahan promosi pariwisata sumatra utara https qepc93kazo
30,2022-06-09 04:48:58+00:00,usman_afin, Partai politik selama ini melahirkan kader kader yang mengisi jabatan publik mulai dari anggota dewan bupati gub https ccH4FMYa9o, partai politik melahirkan kader kader mengisi jabatan publik anggota dewan bupati gub https cch4fmya9o
31,2022-06-09 04:48:10+00:00,revansian1, BumiPutra NKRI Mustofa39120770 geloraco Krn bukan Anggota KPK enggak suka berkhayal , bumiputra nkri mustofa39120770 geloraco krn anggota kpk suka berkhayal 
32,2022-06-09 04:48:04+00:00,vivacoid,Kesal Ditanya Harun Masiku Ketua KPK Kayak Nggak Ada Pertanyaan Lain https shFcBNFAfu,kesal harun masiku ketua kpk kayak nggak https shfcbnfafu
33,2022-06-09 04:47:38+00:00,dhimaz_ariya, KaltimKarim firlibahuri KPK KejaksaanRI ListyoSigitP puanmaharani jokowi Kemendagri Mna bner https OFpvpeROcH, kaltimkarim firlibahuri kpk kejaksaanri listyosigitp puanmaharani jokowi kemendagri mna bner https ofpvperoch
